observed_on,latitude,longitude,time_observed_at,time_zone,out_of_range,common_name,taxon_family_name,scientific_name,taxon_id,id,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,id_please,captive_cultivated,coordinates_obscured,place_state_name,description
20170701,31.27437423,-95.4757921,2017-07-01 22:44:15 UTC,Central Time (US & Canada),FALSE,Green Sunfish,Centrarchidae,Lepomis cyanellus,58636,7188599,478005,mary437,2017-07-24 15:33:19 UTC,2017-07-31 18:58:46 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7188599,https://static.inaturalist.org/photos/9268312/medium.jpg?1500910404,FALSE,FALSE,FALSE,Texas,
20170724,29.77995184,-98.71046648,2017-07-24 18:52:35 UTC,Central Time (US & Canada),FALSE,Largemouth Bass,Centrarchidae,Micropterus salmoides,49587,7192037,10553,jonahevans,2017-07-24 18:59:27 UTC,2017-07-25 20:54:42 UTC,research,CC-BY,https://www.inaturalist.org/observations/7192037,https://static.inaturalist.org/photos/9273071/medium.jpg?1500922802,FALSE,FALSE,FALSE,Texas,
20170724,34.07729001,-81.14980359,2017-07-24 18:38:41 UTC,Eastern Time (US & Canada),,Redear Sunfish,Centrarchidae,Lepomis microlophus,85127,7192508,535133,nv_multispeciesfishing,2017-07-24 19:29:18 UTC,2017-07-25 02:32:41 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7192508,https://static.inaturalist.org/photos/9273666/medium.jpeg?1500924567,FALSE,FALSE,FALSE,South Carolina,
20170724,41.5072,-81.50092,2017-07-24 15:02:00 UTC,Eastern Time (US & Canada),FALSE,Pumpkinseed,Centrarchidae,Lepomis gibbosus,49614,7195711,10162,tortuga_rapido,2017-07-25 00:01:30 UTC,2017-07-25 20:42:41 UTC,research,,https://www.inaturalist.org/observations/7195711,https://static.inaturalist.org/photos/9278942/medium.jpeg?1500940843,FALSE,FALSE,FALSE,Ohio,Fish were sampled as part of an IBI stream assessment conducted by Cleveland Metroparks staff.
20170724,41.50294,-81.49179,2017-07-24 16:28:00 UTC,Eastern Time (US & Canada),FALSE,Pumpkinseed,Centrarchidae,Lepomis gibbosus,49614,7195910,10162,tortuga_rapido,2017-07-25 00:18:05 UTC,2017-07-25 02:35:11 UTC,research,,https://www.inaturalist.org/observations/7195910,https://static.inaturalist.org/photos/9279247/medium.jpeg?1500941821,FALSE,FALSE,FALSE,Ohio,Fish were sampled as part of an IBI stream assessment conducted by Cleveland Metroparks staff.
20170725,30.34179062,-95.54266929,2017-07-25 21:28:55 UTC,Central Time (US & Canada),FALSE,Longear Sunfish,Centrarchidae,Lepomis megalotis,58635,7210742,77664,donquixote,2017-07-26 01:02:29 UTC,2017-07-26 15:20:47 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7210742,https://static.inaturalist.org/photos/9303642/medium.jpg?1501030976,FALSE,FALSE,FALSE,Texas,
20170726,35.00652383,-80.7319057,2017-07-26 19:56:33 UTC,Eastern Time (US & Canada),FALSE,Bluegill,Centrarchidae,Lepomis macrochirus,49591,7221829,535133,nv_multispeciesfishing,2017-07-26 20:02:05 UTC,2017-07-27 03:32:28 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7221829,https://static.inaturalist.org/photos/9321580/medium.jpeg?1501099338,FALSE,FALSE,FALSE,North Carolina,
20170725,41.27943,-81.75346,2017-07-25 17:05:00 UTC,Eastern Time (US & Canada),FALSE,Bluegill,Centrarchidae,Lepomis macrochirus,49591,7225315,10162,tortuga_rapido,2017-07-27 00:41:17 UTC,2017-07-28 21:13:13 UTC,research,,https://www.inaturalist.org/observations/7225315,https://static.inaturalist.org/photos/9327570/medium.jpeg?1501115955,FALSE,FALSE,FALSE,Ohio,Fish were sampled as part of an IBI stream assessment conducted by Cleveland Metroparks staff.
20170725,41.27943,-81.75346,2017-07-25 17:19:00 UTC,Eastern Time (US & Canada),FALSE,Green Sunfish,Centrarchidae,Lepomis cyanellus,58636,7226242,10162,tortuga_rapido,2017-07-27 01:47:43 UTC,2017-07-27 02:04:32 UTC,research,,https://www.inaturalist.org/observations/7226242,https://static.inaturalist.org/photos/9329177/medium.jpeg?1501120014,FALSE,FALSE,FALSE,Ohio,Fish were sampled as part of an IBI stream assessment conducted by Cleveland Metroparks staff.
20170725,41.27943,-81.75346,2017-07-25 17:26:00 UTC,Eastern Time (US & Canada),FALSE,Largemouth Bass,Centrarchidae,Micropterus salmoides,49587,7226556,10162,tortuga_rapido,2017-07-27 02:10:12 UTC,2017-07-28 21:16:35 UTC,research,,https://www.inaturalist.org/observations/7226556,https://static.inaturalist.org/photos/9329723/medium.jpeg?1501121358,FALSE,FALSE,FALSE,Ohio,Fish were sampled as part of an IBI stream assessment conducted by Cleveland Metroparks staff.
20170726,35.00668366,-80.7322393,2017-07-26 18:37:58 UTC,Eastern Time (US & Canada),FALSE,Largemouth Bass,Centrarchidae,Micropterus salmoides,49587,7227611,535133,nv_multispeciesfishing,2017-07-27 03:32:29 UTC,2017-07-29 18:51:51 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7227611,https://static.inaturalist.org/photos/9331566/medium.jpeg?1501126367,FALSE,FALSE,FALSE,North Carolina,
20170726,32.88391197,-97.28050232,2017-07-26 18:13:00 UTC,Central Time (US & Canada),FALSE,Largemouth Bass,Centrarchidae,Micropterus salmoides,49587,7229594,448026,walkingstick2,2017-07-27 08:31:21 UTC,2017-07-29 00:21:55 UTC,research,,https://www.inaturalist.org/observations/7229594,https://static.inaturalist.org/photos/9334922/medium.jpeg?1501144143,FALSE,FALSE,FALSE,Texas,
20170727,29.88641352,-97.93696442,2017-07-27 17:25:19 UTC,Central Time (US & Canada),FALSE,Bluegill,Centrarchidae,Lepomis macrochirus,49591,7234386,101268,isabelvr,2017-07-27 17:25:35 UTC,2017-07-28 23:20:35 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7234386,https://static.inaturalist.org/photos/9342804/medium.jpg?1501176338,FALSE,FALSE,FALSE,Texas,
20170220,33.88244439,-83.34761926,2017-02-21 00:43:44 UTC,Eastern Time (US & Canada),,Redbreast Sunfish,Centrarchidae,Lepomis auritus,85365,7234876,549977,sheaglassman,2017-07-27 17:49:02 UTC,2017-07-27 17:50:05 UTC,research,,https://www.inaturalist.org/observations/7234876,https://static.inaturalist.org/photos/9343393/medium.jpg?1501177744,FALSE,FALSE,FALSE,Georgia,
20170727,41.01128009,-81.51677783,2017-07-27 23:45:00 UTC,Eastern Time (US & Canada),FALSE,Largemouth Bass,Centrarchidae,Micropterus salmoides,49587,7239536,546525,mjbfishing,2017-07-27 23:35:10 UTC,2017-07-28 22:52:37 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7239536,https://static.inaturalist.org/photos/9350668/medium.jpeg?1501198607,FALSE,FALSE,FALSE,Ohio,
20170727,41.01122149,-81.51666775,2017-07-28 00:05:00 UTC,Eastern Time (US & Canada),FALSE,Bluegill,Centrarchidae,Lepomis macrochirus,49591,7241257,546525,mjbfishing,2017-07-28 01:42:38 UTC,2017-07-28 01:53:28 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7241257,https://static.inaturalist.org/photos/9353186/medium.jpg?1501206166,FALSE,FALSE,FALSE,Ohio,
20170727,30.52157395,-97.73556373,2017-07-28 02:28:10 UTC,Central Time (US & Canada),FALSE,Largemouth Bass,Centrarchidae,Micropterus salmoides,49587,7241928,498366,chasefaullin,2017-07-28 02:30:05 UTC,2017-08-10 15:56:49 UTC,research,,https://www.inaturalist.org/observations/7241928,https://static.inaturalist.org/photos/9354311/medium.jpg?1501209006,FALSE,FALSE,FALSE,Texas,
20170718,46.05206383,-95.38336167,2017-07-18 17:30:43 UTC,Central Time (US & Canada),FALSE,Pumpkinseed,Centrarchidae,Lepomis gibbosus,49614,7243927,308759,jadynmercedes,2017-07-28 04:38:41 UTC,2017-07-28 23:00:49 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7243927,https://static.inaturalist.org/photos/9357026/medium.jpg?1501216723,FALSE,FALSE,FALSE,Minnesota,
20170728,32.8505527,-97.48887977,2017-07-28 13:32:57 UTC,Central Time (US & Canada),,Redear Sunfish,Centrarchidae,Lepomis microlophus,85127,7245482,63946,brenledbetter,2017-07-28 13:38:10 UTC,2017-08-17 15:59:38 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7245482,https://static.inaturalist.org/photos/9359942/medium.jpg?1501249103,FALSE,FALSE,FALSE,Texas,
20170728,32.69191111,-94.1791,2017-07-28 16:49:00 UTC,Central Time (US & Canada),FALSE,Dollar Sunfish,Centrarchidae,Lepomis marginatus,104254,7250553,34728,cosmiccat,2017-07-28 20:19:22 UTC,2017-07-31 21:34:25 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7250553,https://static.inaturalist.org/photos/9367804/medium.jpeg?1501273126,FALSE,FALSE,FALSE,Texas,"Caught with size 20 hook, bacon as bait.

Sawmill Pond @ Caddo Lake State Park"
